article,comment,is_positive,thumbs_up,thumbs_down
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Szkoda! Moja żona to czytała i jakie ja chwile wtedy spokoju miałem! No szkoda!,0,223,8
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","I dobrze, że Gala znika! Ludzie już chyba przestają wierzyć w te różowe bajki opowiadane przez celebrytów w „szczerych” wywiadach",0,169,3
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Co mnie to ,0,64,6
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Wszystkie papierowe gazety powinny zniknąć. Szkoda drzew. ,0,1,0
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",A gdzie Krawczyk i Włodarczyk oraz Kaz i Izabel??? ,0,6,0
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Brawo kolejne niemieckie media znikna z Polski, cudowna wiadomość. 😄👏👏👏",0,6,0
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Czy gala była polską wersją zagranicznej gali, czy reszta krajów kupiła ją od nas??",0,1,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Kurczę aż zatesknilam za grycankami. O wiele lepsze czasy niż aktualne z Rozenkowa i Lewandowska ,0,15,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",I znów winny Kaczyński  To PiS zlikwidował tube patocelebrycka,0,6,2
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",To była taka gazieta? ,0,2,4
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Niedobrze mi jak słyszę słowo ""ikoniczny"".",0,9,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Zastanawiają mnie ludzie, którzy się cieszą, że z rynku znika czasopismo, którego nie czytali. Skoro nie czytacie, to co Was boli, że się ukazuje? Nikt na siłę Wam tego nie wciska. Żeby mieć trzeba kupić i za to zapłacić. Nie z Waszych pieniędzy. Więc skąd ten ból?",0,10,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Lewandowski przefarbował włosy? Na tym zdjęciu z okładki całkiem inny kolor, taki bardziej naturalny?",0,6,0
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Okładka z Martą Grycan rzeczywiście najlepsza! Mam słabość do piesków 🤷🏼‍♀️,0,6,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",czemu nie piszecie ze pirog wyladowal w szpitalu po szczepionce?,0,4,10
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)","Jeszcze tylko „Viva”, ale na „Więzi” na pewno się nasi celebryci nie przerzucą. W pudłu nadzieja🤗",0,7,1
"""Gala"" przestaje istnieć! Pamiętacie NAJSŁYNNIEJSZE OKŁADKI ikonicznego dwutygodnika? (STARE ZDJĘCIA)",Teraz czas na Vivę!,0,14,1
Agnieszka Kaczorowska URODZIŁA!,Gdzie makijaż? Włosy jakieś liche. A miala wyglądać jak gwiazda. Czuję się oszukana 😂,0,906,44
Agnieszka Kaczorowska URODZIŁA!,Gratulacje! To teraz możesz odłączyć internet i zająć się dziećmi.,0,734,12
Agnieszka Kaczorowska URODZIŁA!,Co ona taka brzydka rozemłana na tym zdjęciu. Ogarnij się dziewczyno! ,0,701,77
Agnieszka Kaczorowska URODZIŁA!,Ale byście jej zrobili psikusa gdybyście o tym nie napisali ‼️‼️‼️‼️ Poczułaby się mało ważna oj taaaaak ,0,466,18
Agnieszka Kaczorowska URODZIŁA!,"Oby dzieci wybaczyły mamie to, że zarabia na nich od poczecia. Piękne poszanowanie prywatności, o którym tak głośno trąbi pani A. Mimo wszystko gratulacje.",0,365,33
Agnieszka Kaczorowska URODZIŁA!,Brzydko wyglądasz bez makijażu ,0,0,0
Agnieszka Kaczorowska URODZIŁA!,"Wyglada fatalnie... Jak brzydota której sie tak brzydzi... Od jutra bedzie kazdy lost o bozence, reklamy otd i maz statysta stulecia, podnóżek... Kurtyna opadła ",0,1,0
Agnieszka Kaczorowska URODZIŁA!,"Idealny, piękny, bezbolesny, cudowny, wymarzony poród. Szkoda że nie dała transmisji na żywo.",0,1,0
Agnieszka Kaczorowska URODZIŁA!,"Idealny, piękny, bezbolesny, cudowny, wymarzony poród. Szkoda że nie dała transmisji na żywo.",0,1,0
Agnieszka Kaczorowska URODZIŁA!,Heroska…. Na znieczuleniu każda jest. ,0,3,0
Agnieszka Kaczorowska URODZIŁA!,"Widać, że niekoniecznie jej do śmiechu. Chyba jednak tak lekko nie było.",0,2,0
Agnieszka Kaczorowska URODZIŁA!,Wygląda jakby miała umrzeć za 5minut,0,4,0
Agnieszka Kaczorowska URODZIŁA!,"Ej jak to jest, że ten jej Peluś jest z nią w szpitalu a moja siostra ma mieć tam poród za 3 tyg i nie może być z mężem, nie moze też przyjść w odwiedziny ani nic....",0,4,0
Agnieszka Kaczorowska URODZIŁA!,Oderwana granatem od rzeczywistości,0,12,0
Agnieszka Kaczorowska URODZIŁA!,I gdzie ta piękność ? Niewiem czemu ale jej nie lubię. ,0,14,0
Agnieszka Kaczorowska URODZIŁA!,"Czytałam kilka jej opisów. Wszystko musi byc piękne. Wyprawka? Piękna, piżama - piękna (bo trzeba sie czuc dobze i seksownie, zaraz po porodzie...) PIEKNY poród naturalny.... Ona jest jakaś ",0,16,0
Agnieszka Kaczorowska URODZIŁA!,"piękny, wymarzony poród ... ja prd ...",0,21,0
Agnieszka Kaczorowska URODZIŁA!,"Nareszcie. Pozostaje mieć nadzieję, że teraz zajmie się dziećmi i przestanie się wymądrzać. ",0,29,1
Agnieszka Kaczorowska URODZIŁA!,"Aga, a Zośki Zborowskiej za ścianą nie było? Bo chyba tylko ona teraz została z tą dwuletnią ciążą. ",0,22,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","widzisz jak to jest??.. my tez nie prosimy o rady, a zewszad je otrzymujemy..od lewandowskiej, rozenek, borucowej, pazurowej, siwcowej",0,684,11
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",To ona ma jakieś fanki? ,0,270,22
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Po co o niej piszecie ?,0,239,16
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Następna z życiem na pokaz...,0,212,10
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Rady zawsze będą, czy tego chce czy nie. Każda bardziej doświadczona będzie chciała wtrącić swoje trzy grosze, skrytykować, pomądrzyć się.",0,151,17
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Aga a my nie musimy ogladac na insta twojej wrednej facjaty ,0,0,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",BTW my też nie prosimy o rady więc proszę nie wysyłaj nam ich !!!,0,0,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",My też błagamy nie pokazujcie jej. Tyle lat i było dobrze,0,6,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Jak puste trzeba mieć życie żeby wypisywać do obcej baby,udzielać jej rad skoro wiadomo jest ,że ona ma to gdzieś.Te serduszka,całuski i takie tam . Ona ma koleżanki,bliskich i da sobie radę bez tzw.fanek uważających się prawie za kumpele.Nabijacie jej kasę i tyle. I bywa czasem arogancka.",0,11,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",gdzie ukochane psy? ,0,5,2
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","ciaza niektórym kobietom dodaje atrakcyjnosci, a niektórym zabiera urodę...",0,15,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Zniknij z przestrzeni publicznej skasuj IG i FB i będzie po problemie. ,0,14,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Nie do końca pojmuje te wszystkie celebryckie matki, transmitujące na żywa przebieg swojej ciąży , porodu i wychowania swoich dzieci. Wrzucają one na swoich portalach mnóstwo produktów tylko po to żeby je zareklamować i na tym zarabiają, ma sile umieszczają te produkty w mediach społecznościowych, a potem udają ze prowadzą prywatne konta i domagają się traktowania ich inaczej niż one sama traktują swoich obserwatorów. Droga pani, rób co chcesz ze swoim dzieckiem i kupuj mu co chcesz ale jak już żyjesz z obserwatorek to miej odrobine pokory i uszanuj to ze one tez chcą się dzielić z tobą swoimi opiniami. Mogą tego nie robić i przestać cię obserwować ale wtedy równie dobrze możesz zamknąć swoje konto, albo ograniczyć je do małego grona znajomych. Nie sadze ze tego chcesz, nie jesteś gwiazda jak Meryl Streep, jesteś osoba która swoją podupadła karierę zamieniła w najpopularniejszy teraz i najprostszy biznes, jesteś nikim więcej jak influenserka. To mało ambitny zawód ale z tego do widać wielu takim jak ty się opłaca, bo wykorzystują swoje dzieci w tym biznesie maksymalnie. Ty, Mrozowska, Szwed, Lewandowska, Bohodiewicz itp. znalazlyscie sobie źródło utrzymania które nie wymaga wykształcenia, Specjalnych zdolności a powinno polegać na pozytywnej interakcji z obserwatorami. Szkoda ze nawet tego nie potraficie. Naprawdę są jeszcze matki na tym świecie które potrafią uszsniwac swoje życie prywatne i zamiast dzielić się każda drobna pierdoła na temat swoich dzieci zachowują je dla siebie. Proponuje poczytać trochę, podszkolić się popracować a życie prywatne i wychowanie dzieci omawiać z rodzina jeśli tak bardzo przeszkadzają wam komentarze i opinie obserwatorek które same prowokujecie do komentarzy. To ze nie zawsze są one po waszej myśli to cześć tego biznesu który sobie wybralyscie na zarabianie pieniędzy. ",0,30,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Wielkie nic,0,6,1
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Powinna dodać ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich, bo ZABLOKUJĘ wasz profil na Instagramie"".",0,4,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Pokaże Wam się ale nie oceniajcie mnie, będę mówić ale nie chce krytyki i ani słowa z Waszej strony. Chciałyby móc istnieć w internecie mieć zasięgu żeby dostawać wszystko za darmo ale z drugiej strony żeby nikt do nich nic nie miał. No nie da się tak!",0,12,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","Było o niej cicho to bo lepiej, nie jestem jej fanka ale ona niech też niech się nie wypowiada jak jej nie pytam. ",0,8,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""","no wiadomo, przecież to ona zaraz napisze książkę i będzie doradzać, z czegoś trzeba żyć :))",0,8,0
"Agnieszka Włodarczyk apeluje do fanek: ""Jak nie proszę o rady, to błagam, nie wysyłajcie mi ich""",Milan Karaś wychodzi ... i to jest news.,0,8,1
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Nie piszcie o nim,0,850,21
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Jarek! Ty się już dawno skończyłeś ! ,0,798,23
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Zwykły 🐏,0,622,22
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Miałam ostatnio okazję oglądać pana program współprowadzony  z pani Magdaleną. Żarty jakie cisnęły się z pana ust i przymizgiwanie zdegustowały nawet mojego męża, który jest apolityczny... Polecam dobrego fryzjera, bo długie włosy w pewnym już wieku, wyglądają po prostu źle",0,598,19
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Dla własnego zdrowia psychicznego jakiś czas temu postanowiłem wmówić sobie, że ta osoba nie istnieje. Polecam. Jak zmieni się władza to znowu będzie nikim, czyli dokładnie tym kim w istocie jest. ",0,423,12
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Cios paskudny, w końcu autorytet dla całych pokoleń ;)",0,1,0
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","A mnie się wydaje, że większość krytykantów normalnie mu zadrości i dlatego  na Pudelku sączą swoje frustracje w postaci hektolitrów jadu.",0,1,10
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",a kto taki?,0,1,0
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Wygląda na niedomytego, non stop na kacu, bez kultury i znajomości tematów... Totalne zero! I taki ktoś występuje w publicznej telewizji? Płace abonament niestety... ",0,12,0
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Nie rozumiem, jak człowiek o tak niskiej kulturze osobistej może pracować w mediach. JAKICHKOLWIEK.",0,19,0
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Pudel w chórze Tvnu!!!,panie Jarku popieram!!! ,nie da się oglądać tej szczu..i stacji",0,5,30
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Gwiazdor kina, można go stawiać w jednym rzędzie z Olbrychskim, Gajosem... Hehe. Chłopku weź się poddaj aborcji późnej ale zawsze jakiś plus dla spoleczenatwa",0,12,1
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Podoba mi się to okreslenie,0,3,1
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",A kim ty jesteś. To w jakiej stacji pracujesz mówi wszystko o tobie.jestes.... nie mów po Polsku bo nie zasługujesz na ten przywilej,0,23,2
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Kiedyś aby dostać się do telewizji wystarczyło być kulturalnym. Dzisiaj im ktoś bardziej  hałaśliwy, tym ma większe szansę, by zaistnieć na wizji. Tak jest z Jakimowiczem i większością dziennikarzy niezależnie od tego w jakiej pracują stacji. W stacjach takich jak TVN, TVP czy Polsat nie ma już rzetelności i obiektywizmu, lecz wzajemne obrzucanie się błotem, chamstwo, podsycanie agresji oraz uciekanie się do prowokacji. A pracujący dziennikarze niestety pełnią obecnie rolę funkcjonariuszy partyjnych i Jakimowicz też niestety zalicza się do tego grona. Przykre, ale prawdziwe.",0,12,2
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",O przepraszam! Mechaniki z Kutna to inteligentny gość. TiviPIS byle kogo nie zatrudnia!,0,10,4
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?","Po
Co pisać o nim kiepska osobowość ",0,27,2
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Totalne dno. ,0,30,1
"Jakimowicz uderza w TVN: ""Spieszcie się, szmaciarze, zadawać pytania"". Elokwentny?",Okropny facet,0,34,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Ten koles sie zachowuje jakby mial 14 lat. Slownictwo tez, leci banik? moja ekipa? co on jest nastolatkiem? Dziecko ktore udaje powaznego dziennikarza lol",0,453,15
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Lewandowski tego nie skomentuje ?,0,301,8
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",On żenujący jest ,0,256,10
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","za krytyke banik , masz szczekac jak ja chce albo wypad......skad my to znamy ....a mowili ze prawdziwa cnota krytyk sie nie boi",0,207,3
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Wstyd !,0,175,4
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","To jest aż nieprawdopodobne, żeby kupować wykształcenie. Mi się w głowie nie mieści, ile ""pustaków"",  jest na stanowiskach, na których być nie powinni, a ludzie wykształceni naprawdę, muszą pracować w sklepach albo na jakiejś produkcji. W głowie się nie mieści 🤷",0,0,0
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Borek wykazał się brakiem kultury. Zresztą nie po raz pierwszy. ,0,0,0
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",OJ PANSTWO LEWANDOWSCY TROCHĘ WASZA AURA SIĘ WALI JAK NIE SKARBÓWKA TO STUDIA ,0,4,0
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Straszne. Banik. Będę płakała całą noc, aż się odwodnię.",0,19,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Dziennikarzu od siedmiu bolesci, uczelnia to uczelnia, nie jest wyższa. Wyższa może być szkoła",0,12,2
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Oj lipa. Ucichła aferka z Tajlandią, to teraz jeszcze to...",0,23,0
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Czy ma ten dyplom czy go nie ma to jest to człowiek inteligentny, znający języki.Dla mnie on jest taki American Psycho.",0,17,5
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Wstyd takie uczelnie kończyć. Funkcjonują dzięki ćwierćinteligentom.,0,28,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media"""," licencjat czy magister jest tytułem zawodowym, tytuły naukowe zaczynają się od doktora ",0,24,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","Typ jest dziwny. I to jego story,w ktorym pyta zone, czemu jest takazmeczona, chyba ja ktos zajechal wczoraj? Zal",0,30,2
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Popiszą popiszą a i tak to zamiotom pod dywan,0,17,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Uderz w stół a nożyce się odezwa... Powiem tak- ok gwiazdeczki wzywajcie i się oburzacie. Zaprzeczacie nie ma sprawy ale jak wyjdzie prawda że tak było jestem za podwójna kara odsiadki w więzieniu. Ktoś kiblowal w nocy przy książkach a niektórzy sobie kupują i się jeszcze chwała jacy to nie są przebojowi...,0,33,1
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""","sami profesurowie z nadania PISu .... Borek, Swierszczu i inni po jakiś śmiesznych uczelniach w 80% sportowych co to ku... jest ... ",0,27,6
"Mateusz Borek oburza się na łączenie go z aferą dyplomową: ""OBRZYDLIWE! Zemsta gościa, któremu się wydaje, że zna media""",Borabor robil kariere naukowa na uczelni w Nowym Saczu ,0,9,1
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Nie powinno być alimentów na małżonka/ke, masz 2 sprawne ręce to pracuj, dzieci co innego ",0,1092,55
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,A co on jest dzieckiem? Dziwne ze jak facet odchodzi to nawet na dzieci alimentów nie płaci a baba musi jeszcze płacić na byłego ,0,706,89
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,Jeżeli kobieta zostawiła dzieci z ojcem to niech płaci!,0,597,136
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Dla mnie tacy ludzie (nieważne, czy żona sławna, czy mąż) są bez godności. Nie miałabym godności, gdybym kazała byłemu mężowi na siebie płacić. A w takim przypadku, gdzie mąż czy żona są sławni i sami dorobili się pieniędzy, to już w ogóle szczyt bezczelności by zgarniać ich majątek.",0,473,58
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,To dzieci nie są z nią ? ,0,266,24
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Bez powodu nie przyznali. Musiał udokumentować, że na rzecz kariery żony porzucił swoją karierę zawodową. Jeśli on poświęcił swoje lata na rzecz rodziny, ona się rozwijała i zgarnia majątek to normalne, że będzie płacić. Tak samo jak kobiety, które porzucają swoją karierę aby zajmować się domem i dzieci a mężowie rozwijają się zawodowo po rozwodach płacą. ",0,8,1
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"dla mnie facet, który bierze alimenty od kobiety to dno totalne:/",0,8,4
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,na męża więcej niż na dzieci ? a w ogóle z jakiej racji te alimenty ?,0,11,2
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,Bachleda-curus tez korzysta z 100000$ miesiecznie alimentow I nie była żona Colina,0,8,1
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Współczuję jej, ale i wszystkim facetom, których żony skubią jak gęś na święta. Kalifornia jest wyjątkowo okrutna, a prawnicy bezczelni w tym zakresie. ",0,10,0
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,Co to ma za znaczenie żona na męża czy mąż na żonę? Tak stanowi prawo i kropka,0,2,1
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,Tzn odebrał jej dzieci?,0,3,2
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,I znów zaczynacie od „ nie jest tajemnicą” . Te artykuły chyba jakieś booty piszą?,0,7,0
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Ok, faceci (celebryci) też płacą tam duże alimenty, ale powinny być one uzależnione od stażu małżeńskiego. 7 lat małżeństwa - 7 lat alimentów, a nie do końca życia! Po za tym pod uwagę powinni brać m.in przemoc domową, zdrady itd. ",0,9,0
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,Prędzej bym z głodu padł niż wziął pieniądze od byłej małżonki... Czasem się zastanawiam czy mężczyźni mają jeszcze jakoś honor własny.,0,22,8
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Zastanówcie się lepiej dlaczego dzieci są z nim a nie z mamą, więc nie wieszajcie na Nim psów.",0,10,10
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"Britney czeka to samo, myślicie dlatego facet przekonał ją żeby sądowała się z ojcem.",0,7,1
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,"inny kraj, inne prawo, rownouprawnienie i bardzo  dobrze. to jest po to by ludzie szanowal imalzenstwo, ze komus zycie zlamali, najczesciej, ci placacy alimenty, placa, bo juz maja kogos na boku, to sie liczy, jako obkradanie finansow malzenskich  i za to trzeba placic alimenty, skoro wczesniej obkradalo sie malzenskie finanse na kochanki/kochankow.",0,7,4
Kelly Clarkson będzie musiała płacić byłemu mężowi GIGANTYCZNE alimenty!,No i to jest równouprawnienie!!! 😚,0,7,5
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)","Niesamowite,  jak szybko znajdują nowych partnerów. Chyba, że ze mną jest coś nie tak.",0,718,12
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)",Zbyszek już to widział? A co to Zbyszka obchodzi skoro ja zostawił. ,0,483,12
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)","Z tym ""biznesmenem"" to dajcie spokój. Ma wielomilionowe długi. Określenie ""bankrut"" będzie bardziej adekwatne. ",0,364,16
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)",Dobre zdjęcie Zbycha 😂😂😂,0,205,9
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)",Cieszę się ze Monika w końcu zakończyła związek ze Zbigniewem jak to tu niektórzy go nazywają Muminem. Jej aktualny partner nie ma co prawda najlepszej historii ale takiego poniżającego dla kobiety związku w jakim była Monika z Muminem dawno już nie widziałam. Tyle pieniędzy ile ona wtopiła w to małżeństwo i tyle publiczności ile straciła przez nie i nerwów to żaden facet nie jest wart a już na pewno taki niebieski motyl. ,0,165,10
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)",Zbyszek juz ja zaliczyl to po co ma sie nia jeszcze interesowac? ,0,0,0
"Monika Richardson chwali się romantycznymi chwilami z nowym partnerem. ""Magiczny wieczór"" (FOTO)",Ja mysle ze Monice ulzylo jak ja Mumun zostawil . On byl totalna niemota.Pewnie od dawna miala go dosyc.,0,2,0
